title,short_name,city,state_abbreviation,url,about_html,logo_src,productions_html
"Appalshop, Inc. (WMMT and Appalshop Films)","Appalshop, Inc.",Whitesburg,KY,http://www.appalshop.org/,"","",""
Arkansas Educational TV Network (AETN),Arkansas Educational TV Network,Conway,AR,https://www.myarkansaspbs.org/,"<p>Arkansas PBS is Arkansas’s only statewide public media network, which enhances lives by providing lifelong learning opportunities for people from all walks of life. Arkansas PBS delivers daily, essential, local, award-winning productions and classic, trusted PBS programs aimed at sharing Arkansas and the world with viewers through multiple digital platforms, including on-demand services and YouTube TV, and the distinct channels Arkansas PBS, Arkansas PBS Create, Arkansas PBS KIDS, Arkansas PBS WORLD and Arkansas PBS AIRS on SAP. Learn more at myarkansaspbs.org.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/arkansas_pt_logo.png,""
BackStory,BackStory,Charlottesville,VA,https://www.backstoryradio.org/,"","",""
Center for Asian American Media,Center for Asian American Media,San Francisco,CA,https://caamedia.org/,"<p><em>The Center for Asian American Media</em> (CAAM) is a nonprofit organization dedicated to presenting stories that convey the richness and diversity of Asian American experiences to the broadest audience possible. CAAM funds, produces, distributes and exhibits works in film, television and digital media. For 37 years, CAAM has exposed audiences to new voices and communities, advancing our collective understanding of the American experience through programs specifically designed to engage the Asian American community and the public at large.</p><p>Items in <a href=""https://americanarchive.org/special_collections/caam-collection"">The Center for Asian American Media Special Collection</a> were digitized as part of the <a href=""https://pbpf.americanarchive.org/"">American Archive of Public Broadcasting’s Public Broadcasting Preservation Fellowship</a> by Fellow Tanya Yule, with a partnership between the Center for Asian American Media, The Bay Area Video Coalition and San José State University.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/caam_logo.jpeg,""
Chicago Public Radio (WBEZ-FM) and Vocalo.org,WBEZ,Chicago,IL,http://www.wbez.org/,"","",""
"Cincinnati Public Radio (WGUC-FM, WMUB-FM, WVXU-FM)",Cincinnati Public Radio,Cincinnati,OH,http://www.cincinnatipublicradio.org/,"","",""
Colorado Public Television,Colorado Public Television,Denver,CO,http://www.cpt12.org/,"<p>Originally known as KBDI Channel 12, Colorado Public Television (CPT12)
is a unique civic resource and one of the country’s first alternative public television
services. CPT12 provides important local, national and international programming
services that are otherwise not available in Colorado.</p><p>KBDI began operations
in Broomfield, Colorado, with transmitting facilities on Squaw Mountain in Clear
Creek County. At 11,500 feet, the site remains the highest of any full-power television
station in the nation. From there, KBDI began serving first the Denver Metro area,
and then the entire Colorado Front Range.</p><p>Today, Colorado Public Television has
grown to serve 85 percent of the state’s population. Ongoing improvements to its
transmitters and wider digital carriage on cable and satellite systems are extending
the station's reach in almost every direction across the state. Beyond Denver
and the Front Range, CPT12 is increasingly received in various Western Slope and
Eastern Plains communities, ever broadening its service throughout Colorado.</p><p>Since
2003, the station has offered digital programming on three multicast channels.
Today, these three channels include CPT12's flagship signal (12.1), a diverse
mix of local, national and international programming and infused with quality
PBS shows; CPT12+ (12.2), the best of independently produced documentaries, music,
travel, exercise, cooking, public affairs and more; and MHz Worldview (12.3),
a lineup of programs from around the world, including world news, foreign affairs,
international mysteries, world music, sports, and foreign films.</p><p>Frequently stretching
the boundaries of public television, the station has been called many things –
progressive, provocative, experimental, controversial, outrageous, courageous
and more as it has worked to illuminate key social issues, and provide a platform
for the underserved.   CPT12 has always championed experimentation, creativity,
new ideas and high broadcasting standards – all while working on a shoestring
budget.  Today, CPT12 maintains its independent spirit, even as it explores new
media outlets, expands its mission and deepens its community involvement.</p><p>Described
as “the little station that could” by the Denver Post, Colorado Public Television
remains lean and light on its feet – a small, frugal station that continues to
deliver programming that is relevant, informative, entertaining and thought-provoking.</p><p>Colorado
Public Television's tagline, “World View, Community Voice,” represents the station's
mission, programming choices, community activities and engagement with its Colorado
constituents. A global perspective combined with local conversations will continue
to be CPT12's guide into the future.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/colorado_pt_logo.png,"<p>Colorado Inside Out</p><p>Sounds on 29th</p><p>Studio 12</p><p>Tierra O Muerte:
Land Or Death - 1991 Alfred I. duPont-Columbia Award</p><p>Stories of Elyria - 1992
Regional Emmy for Best Documentary</p><p>Everything Has A Spirit - 1994 First Place
Documentary Award, Indian Film and Video Competition</p><p>Snapshots from the DNC -
2008 Colorado Broadcasters Association Award of Excellence for Best News or Public
Affairs Special</p><p>Colorado Inside Out “Circa 1858” and Studio 12 “Sudan” (tie winners)
- 2009 Regional Emmy Award for Best Interview/Discussion Program</p><p>Studio 12 “Back
to Sudan” - 2009 Colorado Broadcasters Association Award of Excellence for Best
News or Public Affairs Special</p><p>Allen True’s West - 2009 Colorado Broadcasters
Association Certificate of Merit for Best Mini-Documentary or Series</p><p>Colorado
Inside Out “Circa 1959” - 2010 Regional Emmy Award for Best Interview/Discussion
Program</p><p>Sandzen: Ecstacy of Color - 2010 Colorado Broadcasters Association Award
of Excellence for Best Mini-Documentary or Series</p><p>Studio 12 “Return to Iwo Jima”
- 2010 Colorado Broadcasters Association Award of Excellence for Best News or
Public Affairs Special</p><p>Colorado Inside Out “Circa 1935” - 2010 Colorado Broadcasters
Association Certificate of Merit for Best News &amp; Public Affairs Special / 2011
Regional Emmy Award for Best Interview/Discussion Program</p><p>Rex Ray: How to Make
a Rex Ray - 2010 Colorado Broadcasters Association Certificate of Merit for Best
Mini-Documentary or Series</p><p>Sounds on 29th - 2012 Colorado Broadcasters Association
Certificate of Merit for Best Mini-Documentary or Series</p><p>Studio 12 ""Aurora Theater
Shooting"" - 2012 Colorado Broadcasters Association Award of Excellence for Best
Public Affairs Special Category</p><p>Studio 12 ""Honoring America's War Heroes"" -
2012 Colorado Broadcasters Association Certificate of Merit for Best News Special/Public
Affairs Special</p>"
"Community Television Foundation of South Florida, Inc",WPBT2,Miami,FL,http://www.wpbt2.org/,"","",""
Connecticut Public Broadcasting,Connecticut Public Broadcasting Network,Hartford,CT,http://www.cpbn.org/,"<p>In October 1962, the Connecticut Educational Television Corporation
began broadcasting over station WEDH-TV (Channel 24) in black and white from the
basement of the Trinity College Library in Hartford, Connecticut. In the beginning,
motivated and eager individuals had a vision: to enrich people's lives through
high-quality, non-commercial, educational programming. Institutions like Trinity
College and the State of Connecticut supported this goal of reaching out to the
community through public broadcasting.</p><p>The station broadcast its first local
children’s programming a few weeks after it went on the air, followed a month
later by a biweekly local series highlighting the world of arts, entertainment
and public affairs in the state. A mobile truck arrived in 1967, color in 1968,
auctions in 1972, and pledge in 1973. By 1974, three additional stations across
the state had joined WEDH-TV and CPTV was born. The statewide network earned its
first Emmy Award in 1977, received its first satellite transmission in 1979, and
taped its first national pledge special in 1985.</p><p>The first public radio station
in Connecticut signed on in June 1978, and soon Connecticut Public Radio (WNPR)
joined CPTV to form what is now known as Connecticut Public Broadcasting. Initially
airing primarily classical and radio music, WNPR now focuses on news and information.
Together, the two community-supported, statewide public broadcasting networks
are dedicated to serving Connecticut with a mix of educational, news, public affairs,
children's and entertainment programming and services. </p><p>Today, CPTV and WNPR
reach the entire state of Connecticut – an estimated 550,000 television viewers
and more than 240,000 radio listeners each week. Connecticut Public Broadcasting
is the state’s only locally owned media organization producing TV, radio, print
and Internet content for distribution to Connecticut’s wide-ranging and diverse
communities.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/cpbn_logo.png,"<p>Mundo Real (CPTV, 1976-1978) - One of the first television series
to focus on a Puerto Rican family, Mundo Real was a Spanish-English bilingual
educational children’s series aimed at ages 7-11. It was funded by four successive
grants from the U.S. Department of Health, Education and Welfare.  A total of
39 episodes were produced. The series was syndicated to commercial and public
television stations throughout the country, airing on at least 60 in 1978 and
PBS aired episodes nationally in 1981.  </p><p>Open Air New England / The Faith Middleton
Show (WNPR, 1981-Present) - The two-time Peabody Award-winning Faith Middleton
Show has been widely recognized for fostering insightful, thought-provoking conversation
for more than 30 years. Faith offers her listeners some of the world's most fascinating
people and subjects. The show has been inducted into the Connecticut Magazine
Hall of Fame as “Best Local Talk Show.” </p><p>Barney &amp; Friends (CPTV, 1992-2005) -
For over a decade, CPTV co-produced Barney &amp; Friends for PBS. A CPTV executive
thought Barney might be a good fit for television after renting a Barney video
for his daughter. When it premiered in April 1992, the series was a huge hit,
far more popular than anyone could have possibly imagined. </p><p>CPTV UConn Women's
Basketball (CPTV, 1994-2012) - CPTV was the TV broadcast home of the phenomenally
successful UConn Women’s Basketball team for 18 years. With some of the consistently
highest ratings and strongest membership levels of any program on public television
for close to two decades, UConn Women’s Basketball on CPTV is considered by many
to be the most successful local franchise in public television history. </p><p>Infinity
Hall Live (CPTV, 2011-Present) - Since 2011, CPTV has produced and distributed
nationally to public television stations across the country this Emmy-award winning
series that provides an all-access pass to engaging performances and backstage
conversations with today’s most intriguing musical artists. It offers authentic
and heartfelt performances taped at Infinity Music Hall, an acoustically perfect
Victorian-era concert hall in Norfolk, CT. Artists featured on the series include
The Barenaked Ladies, Joan Osborne, Fountains of Wayne, Tori Amos, and Wilson
Phillips.</p>"
CUNY TV,CUNY TV,New York,NY,http://www.cuny.tv/,"","",""
Detroit Public Television (aka DPTV and WTVS),Detroit Public Television,Wixom,MI,http://www.dptv.org/,"","",""
Donald Voegeli,Donald Voegeli,Madison,WI,,"","",""
"Film & Media Archive, Washington University in St. Louis","Film and Media Archive, Washington University in St. Louis",St. Louis,MO,http://library.wustl.edu/spec/filmandmedia/about/,"","",""
"Friends of WWOZ, Inc.",WWOZ,New Orleans,LA,http://www.wwoz.org/,"","",""
Georgia Public Broadcasting,Georgia Public Broadcasting,Atlanta,GA,http://www.gpb.org/,"","",""
Idaho Public Television,Idaho Public Television,Boise,ID,http://idahoptv.org/,"","",""
Illinois Public Media (WILL),WILL Illinois Public Media,Urbana,IL,http://will.illinois.edu/,"<p>The radio station that became WILL first signed on the air on March
27th, 1922 on the campus of the University of Illinois at Urbana-Champaign. The
initial call letters were WRM for “We Reach Millions,” which was likely an overstatement
since the station shared its transmitter tube with faculty in the Department of
Electrical Engineering. But by the late 1920s, WILL-AM was broadcasting a regular
schedule of news, music performances, and programs intended to extend the educational
mission of the University of Illinois across the entire state.</p><p>In 1941 WILL-FM
signed on as the first FM radio station licensed to a university. Station engineers
wired 20 buildings across the campus to allow live broadcasts of classroom lectures
and public events. WILL broadcast many pivotal moments in our nation’s history,
through the Great Depression, World War II, the Cold War, the Civil Rights Movement,
and the tumultuous social changes in the 1960s and 70s. Recordings of many of
these broadcasts were preserved in the University of Illinois Archives, and are
now becoming part of the American Archive. </p><p>In 1951 the newly-formed National
Association of Educational Broadcasters began delivering programs to noncommercial
radio stations across then United States from Gregory Hall in Urbana, Illinois,
the home of WILL Radio. The NAEB network emerged from conferences at the University
of Illinois’ Allerton House, underwritten by the Rockefeller Foundation, which
led to a growing recognition of the need for a national system of public broadcasting.
In 1961 the NAEB moved its headquarters from the Urbana campus to Washington D.C.
to be closer to the campaign to win federal support for creation of a public television
and radio system.</p><p>WILL-TV signed on in 1955, broadcasting programs produced by
WILL and other educational broadcasters. Throughout the 1950s and 60s, WILL-TV
aired a mix of telecourses offered by university departments, along with news,
documentaries, and children’s programming. </p><p>With the signing of the Public Broadcasting
Act of 1967, what had been known as educational broadcasting became part of an
emerging public broadcasting system. WILL joined the PBS and National Public Radio
networks as they became central points for television and radio program distribution.
During the 1970s, programming on WILL Radio and Television became more focused
on news and public affairs, as part of the growing national network of professional
public broadcasting stations. </p><p>With the emergence of the World Wide Web, WILL
embraced a new model of multi-platform content production and distribution. With
“digital first” becoming the mantra of the Internet age, WILL has worked to innovate
more effective ways of producing and distributing “born digital” content, while
preserving the rich historical record contained in its media archives.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/will_logo.png,<p>Illinois Broadcast Archives</p><p>African American Life in Central Illinois</p><p>WILL News</p><p>Focus 580</p><p>The Afternoon Magazine</p><p>Central Illinois World War II Stories</p>
Internet Archive,Internet Archive,San Francisco,CA,https://archive.org/,"",https://s3.amazonaws.com/americanarchive.org/org-logos/internet_archive_logo.png,""
Iowa Public Radio,Iowa Public Radio,Des Moines,IA,http://iowapublicradio.org/,"<p>Iowa Public Radio was created in 2004 by the Iowa Board of Regents to manage
the radio groups of Iowa State University, University of Iowa and University 
of Northern Iowa.  This statewide public radio network (a total of 24 stations) 
now serves 236,000 listeners with three programming streams:  News, News/Studio 
One and Classical.  IPR’s combined radio groups serve rural and urban Iowa, 
touching all of Iowa’s 99 counties. </p><p>Our history is long and proud:  Iowa State University and University of Iowa 
each have public radio stations that are nearly a century old, with FCC 
licenses that were among the first 100 radio licenses ever granted, and 
our statewide network is one that other states look to as a model.  This 
century of service to and for Iowans is the foundation for our future.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/iowa_pr_logo.png,""
Iowa Public Television,Iowa Public Television,Johnston,IA,http://www.iptv.org/,"","",""
James F. Voegeli,James F. Voegeli,Madison,WI,,"","",""
KAKM (Alaska Public Media),KAKM Alaska Public Media,Anchorage,AK,http://www.alaskapublic.org/,"<p>Alaska Public Media harnesses the power of multiple media platforms to make a more informed and connected life possible for all Alaskans. Alaska Public Media produces and presents news and content that provides lifelong learning opportunities in public affairs, health and leisure, science and nature, economic and social development, civic engagement and world events. The company is located in Southcentral Alaska and is comprised of <a href=""http://www.alaskapublic.org/kska/"">KSKA</a> radio, <a href=""http://www.alaskapublic.org/television/"">KAKM-TV</a>, Create TV, PBS KIDS, and <a href=""http://alaskapublic.org/"">alaskapublic.org</a>. Alaska Public Media also operates the Statewide News and a shared television service with KTOO in Juneau and KYUK in Bethel. Alaska Public Media and its affiliates deliver content that reaches 97% of the population of Alaska.</p><p>Alaska Public Media offers trusted, award-winning national programming including Morning Edition, All Things Considered, PBS NEwsHour, Nova, Masterpiece, and Frontline. The company also produces Alaska-specific programs including Indie Alaska, Alaska Insight, Alaska News Nightly, Talk of Alaska, Line One: Your Health Connection, Alaska Morning News, Alaska Economic Report, Hometown, Alaska, Outdoor Explorer, and State of Art. Additionally, it produces podcasts such as Iditapod and Midnight Oil.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/kakm_logo.png,""
KBOO Community Radio,KBOO Community Radio,Portland,OR,https://kboo.fm/,"","",""
